distance,angle,raw_angle,time,speed
0.02684467,37.96875,432,798681,0
0.02696895,37.79297,430,798694,-0.009560065
0.03063523,32.60742,371,798706,-0.282022
0.03678713,23.90625,272,798719,-0.4732232
0.04523823,11.95313,136,798732,-0.6500845
0.2892637,357.0996,4063,798745,18.77119
0.3033696,337.1484,3836,798758,-1.17549
0.3210796,312.0996,3551,798770,-1.362309
0.3418967,282.6563,3216,798783,-1.601311
0.3630866,252.6855,2875,798796,-1.629991
0.3812937,226.9336,2582,798809,-1.517262
0.3969531,204.7852,2330,798821,-1.304949
0.4106861,185.3613,2109,798834,-1.056387
0.4244191,165.9375,1888,798847,-1.056387
0.4425641,140.2734,1596,798860,-1.395769
0.468166,104.0625,1184,798873,-2.133488
0.4948242,66.35742,755,798885,-2.22152
0.5134042,40.07813,456,798898,-1.42923
0.5287529,18.36914,209,798911,-1.180668
0.7661914,354.1992,4030,798924,19.78655
0.7883756,322.8223,3673,798936,-1.706472
0.8139153,286.6992,3262,798949,-1.964593
0.8395171,250.4883,2850,798962,-1.969374
0.860272,221.1328,2516,798975,-1.596531
0.8772985,197.0508,2242,798988,-1.309729
0.8915287,176.9238,2013,799000,-1.185846
0.9079337,153.7207,1749,799013,-1.261929
0.9304907,121.8164,1386,799026,-1.735152
0.9591373,81.29883,925,799039,-2.203595
0.9814458,49.74609,566,799052,-1.859034
0.9979752,26.36719,300,799064,-1.271489
1.014442,3.076172,35,799077,-1.266709
1.24865,334.3359,3804,799090,18.01594
1.274003,298.4766,3396,799103,-2.112774
1.300102,261.5625,2976,799115,-2.007614
1.322659,229.6582,2613,799128,-1.735152
1.340493,204.4336,2326,799141,-1.371869
1.355096,183.7793,2091,799154,-1.123308
1.370072,162.5977,1850,799167,-1.247987
1.390889,133.1543,1515,799179,-1.601311
1.419225,93.07617,1059,799192,-2.179695
1.444392,57.48047,654,799205,-1.935913
1.461853,32.7832,373,799218,-1.455122
1.478134,9.755859,111,799230,-1.356733
1.714144,343.5645,3909,799243,18.15456
1.738316,309.375,3520,799256,-1.859433
1.764788,271.9336,3094,799269,-2.036294
1.788774,238.0078,2708,799281,-1.99885
1.807914,210.9375,2400,799294,-1.47225
1.823635,188.7012,2147,799307,-1.209348
1.837927,168.4863,1917,799320,-1.099408
1.856818,141.7676,1613,799333,-1.45313
1.883352,104.2383,1186,799346,-2.211164
1.910507,65.83008,749,799358,-2.088874
1.929522,38.93555,443,799371,-1.46269
1.945368,16.52344,188,799384,-1.218908
2.181875,351.0352,3994,799396,19.70887
2.204929,318.4277,3623,799409,-1.773392
2.231463,280.8984,3196,799422,-2.041074
2.256132,246.0059,2799,799435,-1.897673
2.276825,216.7383,2466,799448,-1.591751
2.292609,194.4141,2212,799460,-1.315306
2.307088,173.9355,1979,799473,-1.113748
2.324301,149.5898,1702,799486,-1.324069
2.349219,114.3457,1301,799499,-1.916793
2.378176,73.38867,835,799512,-2.227495
2.39918,43.68164,497,799525,-1.750289
2.414528,21.97266,250,799537,-1.180668
2.651532,357.1875,4064,799550,18.23104
2.673405,326.25,3712,799563,-1.682572
2.700064,288.5449,3283,799576,-2.050634
2.725355,252.7734,2876,799588,-2.107596
2.746918,222.2754,2529,799601,-1.658671
2.763696,198.5449,2259,799614,-1.290609
2.778485,177.627,2021,799627,-1.137648
2.79458,154.8633,1762,799640,-1.238028
2.817509,122.4316,1393,799653,-1.910818
2.846343,81.65039,929,799665,-2.402763
2.869459,48.95508,557,799678,-1.778172
2.885305,26.54297,302,799691,-1.218908
2.902455,2.285156,26,799704,-1.42923
3.136352,333.1055,3790,799716,19.49138
3.161954,296.8945,3378,799729,-1.969374
3.187928,260.1563,2960,799742,-1.998054
3.210361,228.4277,2599,799755,-1.725592
3.228133,203.291,2313,799768,-1.481014
3.242923,182.373,2075,799780,-1.137648
3.258334,160.5762,1827,799793,-1.185448
3.279958,129.9902,1479,799806,-1.663451
3.308543,89.56055,1019,799819,-2.198815
